unique_id,plotNo,pairNo,block,accession,crop,intercrop,crop_2,trial
2025_winter_plot_1,1,1,Block1,NC20-4526,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_2,2,1,Block1,NC20-4526,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_3,3,2,Block1,NC21-6610,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_4,4,2,Block1,NC21-6610,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_5,5,3,Block1,PI365619,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_6,6,4,Block1,OZARK|POGI,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_7,7,4,Block1,OZARK|POGI,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_8,8,5,Block1,Gerard 227,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_9,9,5,Block1,Gerard 227,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_10,10,6,Block1,NC21-6492,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_11,11,6,Block1,NC21-6492,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_12,12,7,Block1,AVE265_59,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_13,13,8,Block1,NF99414-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_14,14,8,Block1,NF99414-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_15,15,9,Block1,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_16,16,9,Block1,Blaze,Pea,monocrop,pea,2025_winter_plot
2025_winter_plot_17,17,10,Block1,NC20-4702,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_18,18,10,Block1,NC20-4702,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_19,19,11,Block1,CAV2980,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_20,20,12,Block1,FLLA17069-54,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_21,21,12,Block1,FLLA17069-54,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_22,22,13,Block1,OKAY,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_23,23,13,Block1,OKAY,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_24,24,14,Block1,SCLA17031SBSS-4-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_25,25,14,Block1,SCLA17031SBSS-4-1,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_26,26,15,Block1,GERARD224,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_27,27,15,Block1,GERARD224,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_28,28,16,Block1,NF12AS-100-4_2,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_29,29,16,Block1,NF12AS-100-4_2,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_30,30,17,Block1,TX18OCS9125,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_31,31,17,Block1,TX18OCS9125,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_32,32,18,Block1,NC21-6511,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_33,33,18,Block1,NC21-6511,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_34,34,19,Block1,TX18OCS9104,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_35,35,19,Block1,TX18OCS9104,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_36,36,20,Block1,NF18,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_37,37,20,Block1,NF18,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_38,38,21,Block1,TX18OCS9100,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_39,39,21,Block1,TX18OCS9100,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_40,40,22,Block1,KARCAGI,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_41,41,23,Block1,NC20-4551,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_42,42,23,Block1,NC20-4551,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_43,43,24,Block2,OZARK|POGI,Oat,monocrop,oat,2025_winter_plot
2025_winter_plot_44,44,24,Block2,OZARK|POGI,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_45,45,25,Block2,NF99401_1-1,Oat,intercrop,oat-pea,2025_winter_plot
2025_winter_plot_46,46,25,Block2,NF99401_1-1,Oat,monocrop,oat,2025_winter_plot
