"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Freeze damage severity - 0-9 Rating|CO_350:0005001","Grain yield - g/m2|CO_350:0000260","Winter survival - percent|CO_350:0000170","notes","Cornell_WinterOatPeaIntercrop_2024_Ithaca_pea_genotype_Blaze"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","plot","703630","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_129","5","5","129","10","12","test","","","","","3","260.141093474427","100","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","subplot","716954","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_129_subplot_1","5","5","129","10","12","test","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","subplot","716955","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_129_subplot_2","5","5","129","10","12","test","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","subplot","716956","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_129_subplot_3","5","5","129","10","12","test","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","plot","703929","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_130","5","5","130","10","11","test","","","","","3","232.426303854875","100","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","subplot","717089","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_130_subplot_1","5","5","130","10","11","test","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","subplot","717090","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_130_subplot_2","5","5","130","10","11","test","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703569","NC20-4526","","subplot","717091","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_130_subplot_3","5","5","130","10","11","test","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703547","NF13-4126-4_3","","plot","703859","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145","5","5","145","11","5","test","","","","","2","216.112824026493","100","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6565","Cornell_WinterOatPeaIntercrop_2024_Ithaca","winter oat pea intercrop","Augmented","1.26","na","0.3465","","","2023-October-04","2024-July-09","172","Ithaca, NY - McGowan","703547","NF13-4126-4_3","","subplot","716591","Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145_subplot_1","5","5","145","11","5","test","","","","","","","","",""
