plot_name,accession_name,intercrop_accession_name
CU_2025_Ithaca_WOP_PLOT_101,NC20-4526,BLAZE
CU_2025_Ithaca_WOP_PLOT_102,NC20-4526,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_103,NC21-6610,BLAZE
CU_2025_Ithaca_WOP_PLOT_104,NC21-6610,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_105,PI365619,BLAZE
CU_2025_Ithaca_WOP_PLOT_106,OZARK|POGI,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_107,OZARK|POGI,BLAZE
CU_2025_Ithaca_WOP_PLOT_108,Gerard 227,BLAZE
CU_2025_Ithaca_WOP_PLOT_109,Gerard 227,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_110,NC21-6492,BLAZE
CU_2025_Ithaca_WOP_PLOT_111,NC21-6492,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_112,AVE265_59,BLAZE
CU_2025_Ithaca_WOP_PLOT_113,NF99414-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_114,NF99414-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_115,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_116,NO_OATS_PLANTED,BLAZE
CU_2025_Ithaca_WOP_PLOT_117,NC20-4702,BLAZE
CU_2025_Ithaca_WOP_PLOT_118,NC20-4702,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_119,CAV2980,BLAZE
CU_2025_Ithaca_WOP_PLOT_120,FLLA17069-54,BLAZE
CU_2025_Ithaca_WOP_PLOT_121,FLLA17069-54,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_122,OKAY,BLAZE
CU_2025_Ithaca_WOP_PLOT_123,OKAY,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_124,SCLA17031SBSS-4-1,BLAZE
CU_2025_Ithaca_WOP_PLOT_125,SCLA17031SBSS-4-1,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_126,GERARD224,NO_PEAS_PLANTED
CU_2025_Ithaca_WOP_PLOT_127,GERARD224,BLAZE
CU_2025_Ithaca_WOP_PLOT_128,NF12AS-100-4_2,NO_PEAS_PLANTED
