"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Freeze damage severity - 0-9 Rating|CO_350:0005001","Growth stage - Zadoks|day 309|COMP:0000093","Pea freeze damage severity - 0-5 Rating|COMP:0000051","Pea growth stage - BBCH|day 309|COMP:0000094","Pea plant establishment - plants/ft2|COMP:0000052","Pea winter survival - percent|COMP:0000050","Plant establishment - plants/ft2|CO_350:0005124","Winter survival - percent|CO_350:0000170","notes","CU_2025_Ithaca_WOP_PLOT_Blaze"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","plot","730134","CU_2025_Ithaca_WOP_PLOT_101","1","1","101","1","1","test","","101814","BLAZE","","6","1.3","4","1.2","","50","","70","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","subplot","731017","CU_2025_Ithaca_WOP_PLOT_101_subplot_1","1","1","101","1","1","test","","","","","","","","","6","","24","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","subplot","731018","CU_2025_Ithaca_WOP_PLOT_101_subplot_2","1","1","101","1","1","test","","","","","","","","","6","","22","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","subplot","731019","CU_2025_Ithaca_WOP_PLOT_101_subplot_3","1","1","101","1","1","test","","","","","","","","","15","","43","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","plot","729981","CU_2025_Ithaca_WOP_PLOT_102","1","1","102","1","2","test","","","","","7","1.3","5","","","0","","60","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","subplot","731200","CU_2025_Ithaca_WOP_PLOT_102_subplot_1","1","1","102","1","2","test","","","","","","","","","0","","35","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","subplot","731201","CU_2025_Ithaca_WOP_PLOT_102_subplot_2","1","1","102","1","2","test","","","","","","","","","0","","21","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703569","NC20-4526","","subplot","731202","CU_2025_Ithaca_WOP_PLOT_102_subplot_3","1","1","102","1","2","test","","","","","","","","","0","","21","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703607","NC21-6610","","plot","730174","CU_2025_Ithaca_WOP_PLOT_103","1","1","103","1","3","test","","101814","BLAZE","","4","1.3","4","1.2","","40","","70","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6801","CU_2025_Ithaca_WOP_PLOT","2025 winter oat pea intercrop trial located in Ithaca","MAD","1.26","","0.2772","","","2024-October-04","","171","Ithaca, NY - Snyder","703607","NC21-6610","","subplot","731239","CU_2025_Ithaca_WOP_PLOT_103_subplot_1","1","1","103","1","3","test","","","","","","","","","6","","13","","",""
