plot_name,"Winter survival - percent			|CO_350:0000170","Freeze damage severity - 0-9 Rating			|CO_350:0005001","Pea freeze damage severity - 0-5 Rating			|COMP:0000051","Pea winter survival - percent			|COMP:0000050"
CU_2025_Ithaca_WOP_PLOT_105,0,9,4,20
CU_2025_Ithaca_WOP_PLOT_112,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_115,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_116,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_119,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_125,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_140,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_207,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_208,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_217,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_218,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_219,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_220,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_221,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_222,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_225,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_234,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_303,0,9,4,80
CU_2025_Ithaca_WOP_PLOT_305,0,9,4,80
CU_2025_Ithaca_WOP_PLOT_311,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_313,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_317,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_318,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_319,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_320,0,9,4,20
CU_2025_Ithaca_WOP_PLOT_321,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_322,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_323,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_324,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_325,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_326,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_327,0,9,3,70
CU_2025_Ithaca_WOP_PLOT_339,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_340,0,9,4,30
CU_2025_Ithaca_WOP_PLOT_341,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_401,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_402,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_403,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_407,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_408,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_409,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_410,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_411,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_413,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_420,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_428,0,9,4,60
CU_2025_Ithaca_WOP_PLOT_429,0,9,4,40
CU_2025_Ithaca_WOP_PLOT_430,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_432,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_433,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_434,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_435,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_441,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_505,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_506,0,9,3,70
CU_2025_Ithaca_WOP_PLOT_514,0,9,4,10
CU_2025_Ithaca_WOP_PLOT_518,0,9,4,50
CU_2025_Ithaca_WOP_PLOT_527,0,9,4,20
CU_2025_Ithaca_WOP_PLOT_539,0,9,4,70
CU_2025_Ithaca_WOP_PLOT_540,0,9,5,0
CU_2025_Ithaca_WOP_PLOT_602,0,9,4,70
