studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,Crown rust severity (flag leaf) - percent|CO_350:0005029,Freeze damage severity - 0-9 Rating|CO_350:0005001,Grain weight - g|CO_350:0005123,Growth stage - Zadoks|day 330|COMP:0000095,Heading date - Julian day|CO_350:0000270,Winter stress severity - 0-9 Rating|CO_350:0005003,Winter survival - percent|CO_350:0000170,notes,CU_2025_Ithaca_SOAP_HR_SeedIncrease
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",728878,LAFL17541-5-1,,plot,750679,Cornell_2024_SOAP_HR_1001,1,1,1001,,,test,,,,,,3,,,,4,40,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",728928,FLLA17077-16,,plot,751054,Cornell_2024_SOAP_HR_1002,1,1,1002,,,test,,,,,,6,,,,9,10,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",99405,LA09045SBS-U3,,plot,750503,Cornell_2024_SOAP_HR_1003,1,1,1003,,,test,,,,,,6,,,,7,10,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",98491,FL1045-1,,plot,750372,Cornell_2024_SOAP_HR_1004,1,1,1004,,,test,,,,,,5,,,,3,80,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",87455,LA03040SBSBSB-83,,plot,750678,Cornell_2024_SOAP_HR_1005,1,1,1005,,,test,,,,,,6,,,,6,50,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",729000,FLLA17109-56,,plot,750735,Cornell_2024_SOAP_HR_1006,1,1,1006,,,test,,,,,,4,,,,3,80,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",99553,NC10-5069Y,,plot,750747,Cornell_2024_SOAP_HR_1007,1,1,1007,,,test,,,,,,9,,,,4,70,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",728855,TX20CAS1074,,plot,750473,Cornell_2024_SOAP_HR_1008,1,1,1008,,,test,,,,,,4,,,,5,60,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",96977,TX14OCS5098,,plot,750292,Cornell_2024_SOAP_HR_1009,1,1,1009,,,test,,,,,,6,,,,6,20,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6857,Cornell_2024_SOAP_HR,Headrow trial of SOAP accessions.  Screening for winter hardiness.  Block 2 had a large section flooded and probably should be removed from analysis.,RCBD,0.33,1,,,,2024-October-11,,82,"Ithaca, NY",728879,FLLA17149-1,,plot,750773,Cornell_2024_SOAP_HR_1010,1,1,1010,,,test,,,,,,4,,,,4,40,,
