Oat,OatGrain_Inter,FreezeDamage_Inter,GrowthStage_Inter,Lodging_Inter,Height_Inter,PeaGrain_Inter,OatGrain_Mono,FreezeDamage_Mono,GrowthStage_Mono,Lodging_Mono,Height_Mono,SelIndex,,,Economic value,OatGrain,FreezeDamage,GrowthStage,Lodging,Height
Gerard 227,35.31,-0.06,-0.04,-0.27,-4.12,0.48,27.54,-0.02,-0.04,-0.24,-4.56,50.56,,OatGrain_Inter,1,0.571,0.772,0.547,0.623,0.923
NC20-4526,32.58,-0.17,-0.03,-0.51,-5.33,-9.97,37.37,-0.22,0.07,-0.08,-5.69,45.81,,FreezeDamage_Inter,-10,,,,,
NF13-4126-4_3,17.56,-0.75,-0.03,0.4,-1.64,13.05,-1.74,-0.67,-0.01,-0.38,2.66,43.62,,GrowthStage_Inter,2,,"Cor(oatGrain, peaGrain)",,,
NC20-4452,24.97,-0.38,-0.03,-0.36,-2.92,-15.83,49.11,-0.2,-0.02,-0.98,-6.59,40.26,,Lodging_Inter,-1,,-0.505887358,,,
NC21-6429,4.24,0.09,-0.01,0.43,3.96,18.26,35.56,-0.05,0,0.76,2.35,39.1,,Height_Inter,0,,,,,
AURORA,11.39,-0.3,-0.01,0.71,14.74,13.37,13.81,-0.05,0,2.35,9.56,33.25,,PeaGrain_Inter,1,,,,,
NF99414-1,-0.37,-0.3,-0.03,0.72,-10.54,21.05,7.43,-0.3,-0.03,-0.41,-7.87,29.78,,OatGrain_Mono,0.5,,,,,
NC21-6492,16.97,0.07,0.13,0.04,-12.05,15.55,-3.89,0.11,-0.01,-0.12,-5.66,29.03,,FreezeDamage_Mono,-10,,,,,
TX18OCS9125,13.49,0.09,-0.03,0.48,-13.11,9.04,14.1,0.01,-0.01,0.11,-15.11,27.94,,GrowthStage_Mono,2,,,,,
LA17153SBSS-46-1,3.84,0.17,0.08,0.53,-3.45,31.72,-12.23,0.15,-0.04,0.14,-4.27,25.72,,Lodging_Mono,-0.5,,,,,
