studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,Crown rust severity (flag leaf) - percent|CO_350:0005029,Freeze damage severity - 0-9 Rating|CO_350:0005001,Grain yield - g/m2|CO_350:0000260,Winter stress severity - 0-9 Rating|CO_350:0005003,notes
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",85305,FL02011-I-J2,,plot,243563,UWOYT_2011_MattMoore_FL02011-I-J2_8,1,1,1008,,,test,,,,,15,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",98760,FL04178-FLID-B-S-2,,plot,243565,UWOYT_2011_MattMoore_FL04178-FLID-B-S-2_19,1,1,1019,,,test,,,,,,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",86370,FL0522-FLID-B-S-B-S-92-S1,,plot,243569,UWOYT_2011_MattMoore_FL0522-FLID-B-S-B-S-92-S1_10,1,1,1010,,,test,,,,,,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",89955,FL99913-J1-S1,,plot,243556,UWOYT_2011_MattMoore_FL99913-J1-S1_7,1,1,1007,,,test,,,,,35,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",99142,HORIZON201,"FL99201-D29-E1,Horizon 201,TX96M1384",plot,243553,UWOYT_2011_MattMoore_HORIZON201_24,1,1,1024,,,check,,,,,5,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",98654,HORIZON270,Horizon_270,plot,243570,UWOYT_2011_MattMoore_HORIZON270_20,1,1,1020,,,check,,,,,12,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",89511,LA02012-S-B-139-S2-B-S1,,plot,243545,UWOYT_2011_MattMoore_LA02012-S-B-139-S2-B-S1_9,1,1,1009,,,test,,,,,5,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",102445,LA03063SBSBSB-S4,,plot,243552,UWOYT_2011_MattMoore_LA03063SBSBSB-S4_21,1,1,1021,,,test,,,,,7,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",86807,LA05006GSBS-65-S1,,plot,243555,UWOYT_2011_MattMoore_LA05006GSBS-65-S1_4,1,1,1004,,,test,,,,,,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",86074,LA06041SBS-42,,plot,243562,UWOYT_2011_MattMoore_LA06041SBS-42_17,1,1,1017,,,test,,,,,15,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",86024,LA06059SBS-66,,plot,243560,UWOYT_2011_MattMoore_LA06059SBS-66_11,1,1,1011,,,test,,,,,5,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",101813,MN841801,"CRL-O-841801,MN-841801,MN841801 (3-44),NSGC9365",plot,243567,UWOYT_2011_MattMoore_MN841801_25,1,1,1025,,,check,,,,,17,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",85289,NC07-3801,,plot,243548,UWOYT_2011_MattMoore_NC07-3801_12,1,1,1012,,,test,,,,,30,,,,
2011,4388,Uniform Winter Oat Yield Nursery,The Uniform Winter Oat Yield Nursery,2179,UWOYT_2011_MattMoore,"Uniform Winter Oat Yield Trial, Single row plots., Buckthorn nursery. Excellent crown rust, lots of rain and heat. Crown rust severity and infection type were rated on 2011/7/10 (T1) and 2011/7/17 (T2). The numeric value available in T3/Oat is time point",CRD,,,,no,no,2011-May-19,,124,"Saint Paul, MN",85936,NC07-3834,,plot,243546,UWOYT_2011_MattMoore_NC07-3834_14,1,1,1014,,,test,,,,,25,,,,
