block,plot,accession,observationUnitName,germplasmName,use,nReps,Grain weight - g|CO_350:0005123,random,
1,13,AWNLESS_CURLED,Cornell_WinterOatFounders_2024_Headrow_6,AWNLESS_CURLED,headrow,2,27.47,0.844521056,6
2,16,AWNLESS_CURLED,Cornell_WinterOatFounders_2024_Headrow_6,AWNLESS_CURLED,headrow,2,27.47,0.045669466,6
1,10,WINTOK,Cornell_WinterOatFounders_2024_Headrow_9,WINTOK,headrow,2,18.94,0.654371687,9
2,25,WINTOK,Cornell_WinterOatFounders_2024_Headrow_9,WINTOK,headrow,2,18.94,0.580309373,9
1,3,WINTER_TURF|CIAV996,Cornell_WinterOatFounders_2024_Headrow_27,WINTER_TURF|CIAV996,headrow,2,26.51,0.14848234,27
2,22,WINTER_TURF|CIAV996,Cornell_WinterOatFounders_2024_Headrow_27,WINTER_TURF|CIAV996,headrow,2,26.51,0.365713876,27
1,9,PI189756,Cornell_WinterOatFounders_2024_Headrow_30,PI189756,headrow,2,31.36,0.59334859,30
2,21,PI189756,Cornell_WinterOatFounders_2024_Headrow_30,PI189756,headrow,2,31.36,0.345159612,30
1,12,PI222502,Cornell_WinterOatFounders_2024_Headrow_33,PI222502,headrow,2,35.31,0.765606711,33
2,18,PI222502,Cornell_WinterOatFounders_2024_Headrow_33,PI222502,headrow,2,35.31,0.188400392,33
1,14,SA22,Cornell_WinterOatFounders_2024_Headrow_39,SA22,headrow,2,29.07,0.906079002,39
2,24,SA22,Cornell_WinterOatFounders_2024_Headrow_39,SA22,headrow,2,29.07,0.462405521,39
1,6,M-311,Cornell_WinterOatFounders_2024_Headrow_41,M-311,headrow,2,29.74,0.507750488,41
2,23,M-311,Cornell_WinterOatFounders_2024_Headrow_41,M-311,headrow,2,29.74,0.407300114,41
1,4,WALDLER_HAFER_A,Cornell_WinterOatFounders_2024_Headrow_54,WALDLER_HAFER_A,headrow,2,18.73,0.213517495,54
2,20,WALDLER_HAFER_A,Cornell_WinterOatFounders_2024_Headrow_54,WALDLER_HAFER_A,headrow,2,18.73,0.306625246,54
1,5,PI289840,Cornell_WinterOatFounders_2024_Headrow_59,PI289840,headrow,2,17.15,0.383111291,59
2,26,PI289840,Cornell_WinterOatFounders_2024_Headrow_59,PI289840,headrow,2,17.15,0.604310979,59
1,7,SEGER|PI306405,Cornell_WinterOatFounders_2024_Headrow_60,SEGER|PI306405,headrow,2,18.32,0.516412256,60
2,19,SEGER|PI306405,Cornell_WinterOatFounders_2024_Headrow_60,SEGER|PI306405,headrow,2,18.32,0.275519687,60
1,2,APAK,Cornell_WinterOatFounders_2024_Headrow_64,APAK,headrow,2,37.33,0.111391654,64
2,28,APAK,Cornell_WinterOatFounders_2024_Headrow_64,APAK,headrow,2,37.33,0.908163574,64
1,1,PI344818,Cornell_WinterOatFounders_2024_Headrow_65,PI344818,headrow,2,42.4,0.062099812,65
2,15,PI344818,Cornell_WinterOatFounders_2024_Headrow_65,PI344818,headrow,2,42.4,0.022549969,65
1,11,PA7606-51,Cornell_WinterOatFounders_2024_Headrow_80,PA7606-51,headrow,2,25.36,0.725309375,80
2,27,PA7606-51,Cornell_WinterOatFounders_2024_Headrow_80,PA7606-51,headrow,2,25.36,0.7194602,80
1,8,PA8014-840,Cornell_WinterOatFounders_2024_Headrow_92,PA8014-840,headrow,2,17.5,0.58536697,92
2,17,PA8014-840,Cornell_WinterOatFounders_2024_Headrow_92,PA8014-840,headrow,2,17.5,0.064709764,92
