"trial_name","breeding_program","location","year","design_type","description","trial_type","plot_width","plot_length","field_size","planting_date","harvest_date","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","range_number","row_number","col_number","seedlot_name","num_seed_per_plot","weight_gram_seed_per_plot","entry_number","is_private","Blaze"
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_101","NC20-4526",101,1,"","","",1,1,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_102","NC20-4526",102,1,"","","",1,2,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_103","NC21-6610",103,1,"","","",1,3,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_104","NC21-6610",104,1,"","","",1,4,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_105","PI365619",105,1,"","","",1,5,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_106","OZARK|POGI",106,1,"","","",1,6,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_107","OZARK|POGI",107,1,"","","",1,7,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_108","Gerard 227",108,1,"","","",1,8,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_109","Gerard 227",109,1,"","","",1,9,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_110","NC21-6492",110,1,"","","",1,10,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_111","NC21-6492",111,1,"","","",1,11,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_112","AVE265_59",112,1,"","","",1,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_113","NF99414-1",113,1,"","","",2,12,"","","","","",""
"CU_2025_Ithaca_WOP_PLOT","Intercropping Cooperative","Ithaca, NY - Snyder","2025","","2025 winter oat pea intercrop trial located in Ithaca","phenotyping_trial","1.26","",0.2772,"2024-10-04","","CU_2025_Ithaca_WOP_PLOT_114","NF99414-1",114,1,"","","",2,11,"","","","","",""
