block,plot,accession,Entry,NY Seed
1,148,SECTARIAT LA495,186,no seed for NY 2024 or 2025
2,813,SECTARIAT LA495,186,no seed for NY 2024 or 2025
1,60,FL13110-68,249,no seed for NY 2025
2,859,FL13110-68,249,no seed for NY 2025
1,73,FL13123-50,253,no seed for NY 2025
2,663,FL13123-50,253,no seed for NY 2025
1,167,FL13123-54,254,no seed for NY 2025
2,476,FL13123-54,254,no seed for NY 2025
1,237,FL13123-73,256,no seed for NY 2025
2,526,FL13123-73,256,no seed for NY 2025
1,430,FL13126-69,259,no seed for NY 2025
2,830,FL13126-69,259,no seed for NY 2025
1,216,FLLA17025-4,261,no seed for NY 2025
2,505,FLLA17025-4,261,no seed for NY 2025
1,21,FLLA17051-2,263,no seed for NY 2025
2,879,FLLA17051-2,263,no seed for NY 2025
1,451,FLLA17069-41,266,no seed for NY 2025
2,910,FLLA17069-41,266,no seed for NY 2025
1,317,FLLA17078-54,270,no seed for NY 2025
2,668,FLLA17078-54,270,no seed for NY 2025
1,408,FLLA17111-1,274,no seed for NY 2025
2,511,FLLA17111-1,274,no seed for NY 2025
1,378,FLLA17017-69,279,no seed for NY 2025
2,720,FLLA17017-69,279,no seed for NY 2025
1,439,FLLA17032-5,281,no seed for NY 2025
2,644,FLLA17032-5,281,no seed for NY 2025
1,12,FLLA16166-79,290,no seed for NY 2025
2,574,FLLA16166-79,290,no seed for NY 2025
1,415,FLLA16180-50,291,no seed for NY 2025
2,789,FLLA16180-50,291,no seed for NY 2025
1,343,TX20CAS1013,299,no seed for NY 2025
2,822,TX20CAS1013,299,no seed for NY 2025
1,337,TX20CAS1014,300,no seed for NY 2025
2,665,TX20CAS1014,300,no seed for NY 2025
1,452,TX20CAS1021,301,no seed for NY 2025
2,519,TX20CAS1021,301,no seed for NY 2025
1,166,TX20CAS1024,302,no seed for NY 2025
2,521,TX20CAS1024,302,no seed for NY 2025
1,361,TX20CAS1025,303,no seed for NY 2025
2,625,TX20CAS1025,303,no seed for NY 2025
1,1,TX20CAS1034,304,no seed for NY 2025
2,715,TX20CAS1034,304,no seed for NY 2025
1,2,TX20CAS1071,308,no seed for NY 2025
2,540,TX20CAS1071,308,no seed for NY 2025
1,421,TX20CAS1075,309,no seed for NY 2025
2,579,TX20CAS1075,309,no seed for NY 2025
1,374,TX20CAS1077,310,no seed for NY 2025
2,716,TX20CAS1077,310,no seed for NY 2025
1,181,LA15029SB-18-1-1,312,no seed for NY 2025
2,630,LA15029SB-18-1-1,312,no seed for NY 2025
1,442,LA17089SBS-25-2,315,no seed for NY 2025
2,750,LA17089SBS-25-2,315,no seed for NY 2025
1,388,LA17089SBS-33-2,316,no seed for NY 2025
2,496,LA17089SBS-33-2,316,no seed for NY 2025
