"block","plot","accession","Entry","Name","Pedigree","NY Seed","random"
1,380,"BIG MAC",1,"BIG MAC","Coker 68-16/Coker 69-26//Coker 68-23/Coker 68-26 4/Sg/ PI 287211","seed available",0.828966684173793
2,867,"BIG MAC",1,"BIG MAC","Coker 68-16/Coker 69-26//Coker 68-23/Coker 68-26 4/Sg/ PI 287211","seed available",0.906644651666284
1,251,"BOB",2,"BOB","Nora/Florida 501","seed available",0.532555143348873
2,459,"BOB",2,"BOB","Nora/Florida 501","seed available",0.00627543963491917
1,351,"BROOKS",3,"BROOKS","Carolee/Fulgrain/6/Fulgrain/5/CI 5106//Hajira/Joanette/4/ Atlantic/Clinton/Santa Fe/3/CI 2455","seed available",0.747146510984749
2,466,"BROOKS",3,"BROOKS","Carolee/Fulgrain/6/Fulgrain/5/CI 5106//Hajira/Joanette/4/ Atlantic/Clinton/Santa Fe/3/CI 2455","seed available",0.0177093157544732
1,326,"Caballo",4,"Caballo","RODGERS SIB // ARFOB30/C84-27","seed available",0.679292785702273
2,543,"Caballo",4,"Caballo","RODGERS SIB // ARFOB30/C84-27","seed available",0.223152640974149
1,117,"Cantara",5,"Cantara","FL03053-S06-15-B-S1 (LA989IBI-51-B-I1-I2/UFRGS01B6189-6-3)","seed available",0.235913141863421
2,510,"Cantara",5,"Cantara","FL03053-S06-15-B-S1 (LA989IBI-51-B-I1-I2/UFRGS01B6189-6-3)","seed available",0.126931025180966
1,18,"COKER 227",6,"COKER 227","FL500//Woodgrain/CI7330/3/Moregrain/Milford sel./4/2* Suregrain/PI 287211","seed available",0.0349223888479173
2,861,"COKER 227",6,"COKER 227","FL500//Woodgrain/CI7330/3/Moregrain/Milford sel./4/2* Suregrain/PI 287211","seed available",0.897726906696334
1,239,"COKER 234",7,"COKER 234","FL500//Woodgrain/CI7330/3/Moregrain/Milford sel./4/2* Suregrain/PI 287211","seed available",0.508632887154818
2,805,"COKER 234",7,"COKER 234","FL500//Woodgrain/CI7330/3/Moregrain/Milford sel./4/2* Suregrain/PI 287211","seed available",0.785488620167598
1,209,"Coker 716",8,"Coker 716","Coker 62-30 (unknown/unknown)/Beltsville Selection 279 (unnamed_9419/Clintland)","seed available",0.446082404814661
2,475,"Coker 716",8,"Coker 716","Coker 62-30 (unknown/unknown)/Beltsville Selection 279 (unnamed_9419/Clintland)","seed available",0.038242525421083
1,356,"Corondo",9,"Corondo","NA","seed available",0.757384302327409
2,523,"Corondo",9,"Corondo","NA","seed available",0.177538767224178
1,230,"FL0047-J9",10,"FL0047-J9","Horizon 474/TX97C1168","seed available",0.491054706042632
2,877,"FL0047-J9",10,"FL0047-J9","Horizon 474/TX97C1168","seed available",0.932538326596841
1,25,"FL0115-J2",11,"FL0115-J2","FL97AB15-A5-B6/TX97C1130","seed available",0.0478228288702667
2,570,"FL0115-J2",11,"FL0115-J2","FL97AB15-A5-B6/TX97C1130","seed available",0.289801321225241
1,66,"FL03001BSB-S7",12,"FL03001BSB-S7","LA9339E45/Bw3996","seed available",0.140421786345541
2,594,"FL03001BSB-S7",12,"FL03001BSB-S7","LA9339E45/Bw3996","seed available",0.339779882924631
1,168,"FL03146BSB-S1-B-S1",13,"FL03146BSB-S1-B-S1","TAMO 405/HZN 474","seed available",0.358090387890115
2,686,"FL03146BSB-S1-B-S1",13,"FL03146BSB-S1-B-S1","TAMO 405/HZN 474","seed available",0.546317094471306
1,77,"FL03254-L1",14,"FL03254-L1","LA982IBI-64(833/TAMO 397)/UFRGS 028155","seed available",0.153857798082754
2,898,"FL03254-L1",14,"FL03254-L1","LA982IBI-64(833/TAMO 397)/UFRGS 028155","seed available",0.970112314680591
1,331,"FL04155-S06-31-B-S1",15,"FL04155-S06-31-B-S1","FL03139 F1 (TROPHY/MN00226)/FL03224 F1 (UPF94174-1/FL9605-A6-B4)","seed available",0.691178891574964
2,680,"FL04155-S06-31-B-S1",15,"FL04155-S06-31-B-S1","FL03139 F1 (TROPHY/MN00226)/FL03224 F1 (UPF94174-1/FL9605-A6-B4)","seed available",0.5320887605194
1,443,"FL0720-R6",16,"FL0720-R6","FL0206FSB-34-S1//FL0016-H1/IL 3555","seed available",0.970858562272042
2,615,"FL0720-R6",16,"FL0720-R6","FL0206FSB-34-S1//FL0016-H1/IL 3555","seed available",0.380356691079214
1,423,"FL0772-R3",17,"FL0772-R3","P0216A1-1/FL0023-E10-H1-J5","seed available",0.918645008001477
2,600,"FL0772-R3",17,"FL0772-R3","P0216A1-1/FL0023-E10-H1-J5","seed available",0.344845591578633
1,419,"FL0914-U2",18,"FL0914-U2","LA04008SBSB-74-B-S1 (TROPHY/TAMO405)/F1 FL0874 (WIX8347-2(Gem/ND900117)/FL0744 F1(LA01005BSBSBS-46/Bw 103))","seed available",0.909813962411135
2,844,"FL0914-U2",18,"FL0914-U2","LA04008SBSB-74-B-S1 (TROPHY/TAMO405)/F1 FL0874 (WIX8347-2(Gem/ND900117)/FL0744 F1(LA01005BSBSBS-46/Bw 103))","seed available",0.848724199691787
1,103,"FL0923-U2",19,"FL0923-U2","MN 06133 (Sask01T-602-05-06/MN01117)/F1 FL0852 (FL0748 F1(Ave. 135.02/SD030888 (SD97039//SD96280/OT275)) /LA97006GSB-59-2-4-SBS1 (FL92OHR26763/TX93M2107))","seed available",0.202228634851053
2,567,"FL0923-U2",19,"FL0923-U2","MN 06133 (Sask01T-602-05-06/MN01117)/F1 FL0852 (FL0748 F1(Ave. 135.02/SD030888 (SD97039//SD96280/OT275)) /LA97006GSB-59-2-4-SBS1 (FL92OHR26763/TX93M2107))","seed available",0.287054951069877
1,290,"FL0923-U4",20,"FL0923-U4","MN 06133 (Sask01T-602-05-06/MN01117)/F1 FL0852 (FL0748 F1(Ave. 135.02/SD030888 (SD97039//SD96280/OT275)) /LA97006GSB-59-2-4-SBS1 (FL92OHR26763/TX93M2107))","seed available",0.605339040514082
2,565,"FL0923-U4",20,"FL0923-U4","MN 06133 (Sask01T-602-05-06/MN01117)/F1 FL0852 (FL0748 F1(Ave. 135.02/SD030888 (SD97039//SD96280/OT275)) /LA97006GSB-59-2-4-SBS1 (FL92OHR26763/TX93M2107))","seed available",0.28301749820821
1,41,"FL0941-U1",21,"FL0941-U1","LA04014S-L1 (LA99017SBSB-46/LA833-99AB118)/F1 FL0853 (FL0746 F1(FL0105FSBSBS20-B-S1(TX97C1168/IA 91462-45-1-6)/QR1860BSB-S2 (UFRGS921260 / X8204-1))/FL0206FSB-34-S1-B-S1(UFRGS 995088-3/LA9535D118-4))","seed available",0.0991052931640297
2,848,"FL0941-U1",21,"FL0941-U1","LA04014S-L1 (LA99017SBSB-46/LA833-99AB118)/F1 FL0853 (FL0746 F1(FL0105FSBSBS20-B-S1(TX97C1168/IA 91462-45-1-6)/QR1860BSB-S2 (UFRGS921260 / X8204-1))/FL0206FSB-34-S1-B-S1(UFRGS 995088-3/LA9535D118-4))","seed available",0.861317697446793
1,38,"FL0943-U2",22,"FL0943-U2","FL0554-Ab5 (UFRGS 01B7114-1-3 (PC68/*Starter F4//UFRGS 10)/FL0127-H1 (FL0051 F1 (FL92SA292-A1/FL92OHR37,896-Y3-A1)/IL 95-8217 (Blaze/Brawn)))/F1 FL0841 (05RAT-00P08(AC Ronald/OT299)/LA02010SBSBSBSB-S2(9513BTB-80-I2/TX00D176))","seed available",0.0927404179237783
2,842,"FL0943-U2",22,"FL0943-U2","FL0554-Ab5 (UFRGS 01B7114-1-3 (PC68/*Starter F4//UFRGS 10)/FL0127-H1 (FL0051 F1 (FL92SA292-A1/FL92OHR37,896-Y3-A1)/IL 95-8217 (Blaze/Brawn)))/F1 FL0841 (05RAT-00P08(AC Ronald/OT299)/LA02010SBSBSBSB-S2(9513BTB-80-I2/TX00D176))","seed available",0.848116554087028
1,11,"FL0943-U4",23,"FL0943-U4","FL0554-Ab5 (UFRGS 01B7114-1-3 (PC68/*Starter F4//UFRGS 10)/FL0127-H1 (FL0051 F1 (FL92SA292-A1/FL92OHR37,896-Y3-A1)/IL 95-8217 (Blaze/Brawn)))/F1 FL0841 (05RAT-00P08(AC Ronald/OT299)/LA02010SBSBSBSB-S2(9513BTB-80-I2/TX00D176))","seed available",0.0218953774310648
2,585,"FL0943-U4",23,"FL0943-U4","FL0554-Ab5 (UFRGS 01B7114-1-3 (PC68/*Starter F4//UFRGS 10)/FL0127-H1 (FL0051 F1 (FL92SA292-A1/FL92OHR37,896-Y3-A1)/IL 95-8217 (Blaze/Brawn)))/F1 FL0841 (05RAT-00P08(AC Ronald/OT299)/LA02010SBSBSBSB-S2(9513BTB-80-I2/TX00D176))","seed available",0.323557644849643
1,366,"FL1013-1",24,"FL1013-1","SD60130(SPURS/W00276)/UFRGS 087212-1","seed available",0.801077815471217
2,849,"FL1013-1",24,"FL1013-1","SD60130(SPURS/W00276)/UFRGS 087212-1","seed available",0.863238526741043
1,45,"FL1013-2",25,"FL1013-2","SD60130(IL95-1241/W00276)/UFRGS 087212-1","seed available",0.104148488724604
2,547,"FL1013-2",25,"FL1013-2","SD60130(IL95-1241/W00276)/UFRGS 087212-1","seed available",0.24075664812699
1,449,"FL1035-2",26,"FL1035-2","UPF98H2000-4/FL03254-L1","seed available",0.986094478517771
2,504,"FL1035-2",26,"FL1035-2","UPF98H2000-4/FL03254-L1","seed available",0.116632843157277
1,383,"FL1045-1",27,"FL1045-1","IL 02-8011/FL03117-L5(UFRGS B017108-2-5/Bw1000)","seed available",0.834999502170831
2,593,"FL1045-1",27,"FL1045-1","IL 02-8011/FL03117-L5(UFRGS B017108-2-5/Bw1000)","seed available",0.339466190664098
1,5,"FL1049-3",28,"FL1049-3","FL03262-L1(Bw501/LA9818IBIB-I2-B)/UPF97H2200-7-2","seed available",0.0102676732931286
2,722,"FL1049-3",28,"FL1049-3","FL03262-L1(Bw501/LA9818IBIB-I2-B)/UPF97H2200-7-2","seed available",0.617604024941102
1,208,"FL11044-1",29,"FL11044-1","Horizon 201/UFRGS 087045-3","seed available",0.444988360861316
2,551,"FL11044-1",29,"FL11044-1","Horizon 201/UFRGS 087045-3","seed available",0.242652904009447
1,206,"FL99084-J2",30,"FL99084-J2","TX96D210FL/98008 F1(LA90151-BB-11-2-1/UFRGS 940556)","seed available",0.441416240297258
2,700,"FL99084-J2",30,"FL99084-J2","TX96D210FL/98008 F1(LA90151-BB-11-2-1/UFRGS 940556)","seed available",0.567999456776306
1,100,"FL99153FBS-45-1-B-S-B-S1-B-S1",31,"FL99153FBS-45-1-B-S-B-S1-B-S1","TX95C3147/FL98007 F1(SC 942283/UFRGS 940556)","seed available",0.192096183774993
