block,plot,accession,Entry,Name,Pedigree,NY Seed,random
1,1,TX20CAS1034,304,TX20CAS1034,TX14OCS5086/LA14036S,no seed for NY 2025,0.000957889
1,2,TX20CAS1071,308,TX20CAS1071,TAMO411/TX14OCS5189//TX15OCS6040,no seed for NY 2025,0.004690639
1,3,HORIZON 270,41,HORIZON 270,FL95MEO29/TX93M2107,seed available,0.005981205
1,4,NC12-3922,141,NC12-3922,Rodgers / NC03-2421,seed available,0.009184812
1,5,FL1049-3,28,FL1049-3,FL03262-L1(Bw501/LA9818IBIB-I2-B)/UPF97H2200-7-2,seed available,0.010267673
1,6,FLLA16083-25,347,FLLA16083-25,LA08084SBSBS-15 / LA06059SBSBSB-46,seed available,0.011888629
1,7,LA10044-4,127,LA10044-4,LA97006GSB-59-2-4-SBS1/FL0522-FLID-B-S-B-S-92-S1,seed available,0.011994033
1,8,TX19CAS0002,348,TX19CAS0002,LA09030SBS-U3-AB1/TX07CS1948//UFGS 1050 64-1,seed available,0.01443241
1,9,TX14OCS5065,224,TX14OCS5065,05CS347-1//TX02U7605,seed available,0.016454888
1,10,LA06059SBSBSB-16-S,63,LA06059SBSBSB-16-S,TAMO 405/LA99016,seed available,0.020025106
1,11,FL0943-U4,23,FL0943-U4,"FL0554-Ab5 (UFRGS 01B7114-1-3 (PC68/*Starter F4//UFRGS 10)/FL0127-H1 (FL0051 F1 (FL92SA292-A1/FL92OHR37,896-Y3-A1)/IL 95-8217 (Blaze/Brawn)))/F1 FL0841 (05RAT-00P08(AC Ronald/OT299)/LA02010SBSBSBSB-S2(9513BTB-80-I2/TX00D176))",seed available,0.021895377
1,12,FLLA16166-79,290,FLLA16166-79,TX09CS065 / FL0720-R6,no seed for NY 2025,0.02350582
1,13,Harrison,39,Harrison,Coker 234/74C70//Florida 502,seed available,0.023567256
1,14,Simpson,187,Simpson,"Ballard (Pentagon (Stanton, 1955/Pentagon (Stanton, 1955)/S172 4Cn3/1/3/58/602Cn)",seed available,0.025028178
1,15,LA17129SBSS-60-1,328,LA17129SBSS-60-1,"MN11211 (SA081654)2 / LA16022,F1 (CANTARA / BW 823)",seed available,0.027500076
1,16,FLLA16056-4,292,FLLA16056-4,"LA06059SBSBSB-46 / LA15120,F1,(TX09CS049 / LA07065SBSBSB-32)",seed available,0.02897472
1,17,TX14OCS5080,228,TX14OCS5080,LA99016//TX02U7682,seed available,0.029140041
