"plot_number","prow","pcol","grow","gcol","subplot"
928,1,"1",1,1,3
928,1,"1",1,2,2
928,1,"1",1,3,1
927,1,"2",1,1,3
927,1,"2",1,2,2
927,1,"2",1,3,1
926,1,"3",1,1,3
926,1,"3",1,2,2
926,1,"3",1,3,1
925,1,"4",1,1,3
925,1,"4",1,2,2
925,1,"4",1,3,1
924,1,"5",1,1,3
924,1,"5",1,2,2
924,1,"5",1,3,1
923,1,"6",1,1,3
923,1,"6",1,2,2
923,1,"6",1,3,1
922,1,"7",1,1,3
922,1,"7",1,2,2
922,1,"7",1,3,1
921,1,"8",1,1,3
921,1,"8",1,2,2
921,1,"8",1,3,1
920,1,"9",1,1,3
920,1,"9",1,2,2
920,1,"9",1,3,1
919,1,"10",1,1,3
919,1,"10",1,2,2
919,1,"10",1,3,1
918,1,"11",1,1,3
918,1,"11",1,2,2
918,1,"11",1,3,1
917,1,"12",1,1,3
917,1,"12",1,2,2
917,1,"12",1,3,1
916,1,"13",1,1,3
916,1,"13",1,2,2
916,1,"13",1,3,1
915,1,"14",1,1,3
915,1,"14",1,2,2
915,1,"14",1,3,1
1014,2,"1",1,1,3
1014,2,"1",1,2,2
1014,2,"1",1,3,1
1013,2,"2",1,1,3
1013,2,"2",1,2,2
1013,2,"2",1,3,1
1012,2,"3",1,1,3
1012,2,"3",1,2,2
1012,2,"3",1,3,1
1011,2,"4",1,1,3
1011,2,"4",1,2,2
1011,2,"4",1,3,1
1010,2,"5",1,1,3
1010,2,"5",1,2,2
1010,2,"5",1,3,1
1009,2,"6",1,1,3
1009,2,"6",1,2,2
1009,2,"6",1,3,1
1008,2,"7",1,1,3
1008,2,"7",1,2,2
1008,2,"7",1,3,1
1007,2,"8",1,1,3
1007,2,"8",1,2,2
1007,2,"8",1,3,1
1006,2,"9",1,1,3
1006,2,"9",1,2,2
1006,2,"9",1,3,1
1005,2,"10",1,1,3
1005,2,"10",1,2,2
1005,2,"10",1,3,1
1004,2,"11",1,1,3
1004,2,"11",1,2,2
1004,2,"11",1,3,1
1003,2,"12",1,1,3
1003,2,"12",1,2,2
1003,2,"12",1,3,1
1002,2,"13",1,1,3
1002,2,"13",1,2,2
1002,2,"13",1,3,1
1001,2,"14",1,1,3
1001,2,"14",1,2,2
1001,2,"14",1,3,1
831,3,"1",1,1,3
831,3,"1",1,2,2
831,3,"1",1,3,1
830,3,"2",1,1,3
830,3,"2",1,2,2
830,3,"2",1,3,1
807,3,"3",1,1,3
807,3,"3",1,2,2
807,3,"3",1,3,1
806,3,"4",1,1,3
806,3,"4",1,2,2
806,3,"4",1,3,1
725,3,"5",1,1,3
725,3,"5",1,2,2
725,3,"5",1,3,1
724,3,"6",1,1,3
724,3,"6",1,2,2
724,3,"6",1,3,1
701,3,"7",1,1,3
701,3,"7",1,2,2
701,3,"7",1,3,1
642,3,"8",1,1,3
642,3,"8",1,2,2
642,3,"8",1,3,1
619,3,"9",1,1,3
619,3,"9",1,2,2
619,3,"9",1,3,1
618,3,"10",1,1,3
618,3,"10",1,2,2
618,3,"10",1,3,1
537,3,"11",1,1,3
537,3,"11",1,2,2
537,3,"11",1,3,1
536,3,"12",1,1,3
536,3,"12",1,2,2
536,3,"12",1,3,1
513,3,"13",1,1,3
513,3,"13",1,2,2
513,3,"13",1,3,1
512,3,"14",1,1,3
512,3,"14",1,2,2
512,3,"14",1,3,1
832,4,"1",1,1,3
832,4,"1",1,2,2
832,4,"1",1,3,1
829,4,"2",1,1,3
829,4,"2",1,2,2
829,4,"2",1,3,1
808,4,"3",1,1,3
808,4,"3",1,2,2
808,4,"3",1,3,1
805,4,"4",1,1,3
805,4,"4",1,2,2
805,4,"4",1,3,1
726,4,"5",1,1,3
726,4,"5",1,2,2
726,4,"5",1,3,1
723,4,"6",1,1,3
723,4,"6",1,2,2
723,4,"6",1,3,1
702,4,"7",1,1,3
702,4,"7",1,2,2
702,4,"7",1,3,1
641,4,"8",1,1,3
641,4,"8",1,2,2
641,4,"8",1,3,1
620,4,"9",1,1,3
620,4,"9",1,2,2
620,4,"9",1,3,1
617,4,"10",1,1,3
617,4,"10",1,2,2
617,4,"10",1,3,1
538,4,"11",1,1,3
538,4,"11",1,2,2
538,4,"11",1,3,1
535,4,"12",1,1,3
535,4,"12",1,2,2
535,4,"12",1,3,1
514,4,"13",1,1,3
514,4,"13",1,2,2
514,4,"13",1,3,1
511,4,"14",1,1,3
511,4,"14",1,2,2
511,4,"14",1,3,1
