"observationUnitName","observationUnitDbId","plot_number","subplot","plot_subplot","blue_mean","ExG_0-1_mean","green_mean","NDVI_mean","nir_mean","red_mean","red_edge_mean"
"CU_2025_Ithaca_WOP_PLOT_101_subplot_1",731017,101,1,"101_1",33333.2378532868,0.171800571610035,40681.8402667514,-0.0127265205943079,38462.6243251826,39576.7053032709,38593.6681486186
"CU_2025_Ithaca_WOP_PLOT_101_subplot_2",731018,101,2,"101_2",32876.2907124682,0.206106870229008,40409.9850508906,-0.00900133550270519,38467.5108142494,39261.540394402,38577.2264631043
"CU_2025_Ithaca_WOP_PLOT_101_subplot_3",731019,101,3,"101_3",31709.4579081633,0.281887755102041,39034.3450255102,0.00883197662935057,38112.1068239796,37534.8000637755,38563.8450255102
"CU_2025_Ithaca_WOP_PLOT_102_subplot_1",731200,102,1,"102_1",33212.1236917222,0.0758008246114811,40131.5661274976,-0.0479375087623499,36501.3872502379,40276.9508404694,37438.3739295909
"CU_2025_Ithaca_WOP_PLOT_102_subplot_2",731201,102,2,"102_2",33831.8190203562,0.0477099236641221,40812.6927480916,-0.0588756096662371,36497.7029262087,41203.8377862595,38000.6380407125
"CU_2025_Ithaca_WOP_PLOT_102_subplot_3",731202,102,3,"102_3",33892.5587301587,0.013968253968254,40713.8587301587,-0.0719928912456297,35674.613015873,41320.4444444445,38266.5396825397
"CU_2025_Ithaca_WOP_PLOT_103_subplot_1",731239,103,1,"103_1",34796.8740082513,0.0952078705172961,41253.61028245,-0.0547217150636251,36624.8279911139,41024.032370676,38709.7375436369
"CU_2025_Ithaca_WOP_PLOT_103_subplot_2",731240,103,2,"103_2",32326.1081081081,0.236883942766296,39293.7395866455,-0.00727409706530352,37306.1875993641,37875.4165341812,38622.6251192369
"CU_2025_Ithaca_WOP_PLOT_103_subplot_3",731241,103,3,"103_3",31028.0567893401,0.338515228426396,38024.1123096447,0.0182638002538872,37279.032677665,35920.7341370558,38680.6383248731
"CU_2025_Ithaca_WOP_PLOT_104_subplot_1",730348,104,1,"104_1",34562.1649713923,0.151938970120788,40614.4075015893,-0.0197783932596295,38016.2825810553,39732.6961220598,40061.9631277813
"CU_2025_Ithaca_WOP_PLOT_104_subplot_2",730349,104,2,"104_2",33692.9473015873,0.195555555555556,40012.1526984127,-0.0022744741332402,38396.953968254,38675.2025396825,40201.4879365079
"CU_2025_Ithaca_WOP_PLOT_104_subplot_3",730350,104,3,"104_3",34790.2204949239,0.0653553299492386,40541.4543147208,-0.0478839201583921,36919.3518401015,40711.3426395939,39698.0704314721
"CU_2025_Ithaca_WOP_PLOT_105_subplot_1",730666,105,1,"105_1",36114.8845663265,0.144132653061224,41695.627869898,-0.0306971729387071,38021.1916454082,40659.8469387755,40953.5854591837
"CU_2025_Ithaca_WOP_PLOT_105_subplot_2",730667,105,2,"105_2",35598.8551921245,0.0425531914893617,40608.4591933947,-0.060511555064853,36040.128929819,40790.2219752302,39203.3921879962
"CU_2025_Ithaca_WOP_PLOT_105_subplot_3",730668,105,3,"105_3",34807.8199745547,0.0858778625954199,39915.6094147583,-0.0435552992673641,36192.2086513995,39557.4309796438,39174.2945292621
"CU_2025_Ithaca_WOP_PLOT_106_subplot_1",730522,106,1,"106_1",35749.7421203438,0.132760267430755,40460.0611270296,-0.0126109034102951,38530.5078000637,39706.2088506845,40840.1849729386
"CU_2025_Ithaca_WOP_PLOT_106_subplot_2",730523,106,2,"106_2",36832.4306615776,0.0741094147582697,40946.7302798982,-0.0455760822054702,37353.3435114504,41141.766221374,40254.5804707379
"CU_2025_Ithaca_WOP_PLOT_106_subplot_3",730524,106,3,"106_3",37233.484375,0.0411352040816326,41125.2598852041,-0.0703192180386936,36093.0261479592,41721.3424744898,39720.1396683673
"CU_2025_Ithaca_WOP_PLOT_107_subplot_1",730942,107,1,"107_1",35762.2039390089,0.162007623888183,39224.1769377382,0.0119331519649486,38587.9828462516,37875.251270648,39445.8449809403
"CU_2025_Ithaca_WOP_PLOT_107_subplot_2",730943,107,2,"107_2",35335.2731909468,0.109977685686962,38631.778769525,0.00285924914004449,38011.9627032196,37926.6882371693,38815.6777175645
"CU_2025_Ithaca_WOP_PLOT_107_subplot_3",730944,107,3,"107_3",33294.0238625517,0.167992363983455,37257.7021953548,0.0395827581632015,38368.1100859052,35456.8164174356,38863.5895641107
"CU_2025_Ithaca_WOP_PLOT_108_subplot_1",730687,108,1,"108_1",35600.6880355443,0.0444303395747382,38195.4516026658,-0.00742151851455876,37540.0307838781,38203.7673754364,38463.0041256744
"CU_2025_Ithaca_WOP_PLOT_108_subplot_2",730688,108,2,"108_2",36180.4184419714,0.0502384737678855,38540.1100158983,-0.0176971811917905,37395.4976152623,38826.427027027,38234.8473767886
"CU_2025_Ithaca_WOP_PLOT_108_subplot_3",730689,108,3,"108_3",35449.8128376231,0.0781696854146807,37979.2354623451,-0.00325508695368944,37392.5770575151,37723.2427708929,38098.118207817
"CU_2025_Ithaca_WOP_PLOT_109_subplot_1",731164,109,1,"109_1",39544.3053701938,0.0184302510327296,41366.7353034636,-0.0681539467054558,37082.4795042898,42749.1817604067,40074.2739116619
"CU_2025_Ithaca_WOP_PLOT_109_subplot_2",731165,109,2,"109_2",38198.5477929501,0.0181009844395046,40257.1867259448,-0.0566063748509285,37022.5798666243,41589.4356938711,39342.1619561766
"CU_2025_Ithaca_WOP_PLOT_109_subplot_3",731166,109,3,"109_3",37182.2883883249,0.0107868020304569,39213.0685279188,-0.0562117488704187,36002.8981598985,40419.4152918782,38277.8883248731
"CU_2025_Ithaca_WOP_PLOT_110_subplot_1",731155,110,1,"110_1",36498.2738549618,0.0820610687022901,39271.316475827,-0.0144107550078875,37101.8148854962,38297.6628498728,39119.3702290076
"CU_2025_Ithaca_WOP_PLOT_110_subplot_2",731156,110,2,"110_2",36998.0434506819,0.0853155724706629,39670.1335236283,-0.0104362293004462,37686.6964795433,38600.1081509673,39560.5899143673
"CU_2025_Ithaca_WOP_PLOT_110_subplot_3",731157,110,3,"110_3",36801.8880407125,0.0823791348600509,39582.7236005089,-0.00778775529925007,37679.6453562341,38334.9770992366,39644.9007633588
"CU_2025_Ithaca_WOP_PLOT_111_subplot_1",730570,111,1,"111_1",38638.8700636943,0.00414012738853503,40269.0910828025,-0.0658306866683077,36142.2850318471,41392.0627388535,38068.6926751592
"CU_2025_Ithaca_WOP_PLOT_111_subplot_2",730571,111,2,"111_2",37317.0168200571,0.00952078705172961,39429.5350682323,-0.0421838288065281,36469.6248809902,39801.6550301492,37933.1716915265
