plotNo,pairNo,block,accession,crop,intercrop,source,crop_2
1,1,Block1,NC20-4402,Oat,intercrop,plot,oat-pea
2,1,Block1,NC20-4402,Oat,monocrop,plot,oat
3,2,Block1,NC20-4700,Oat,monocrop,plot,oat
4,2,Block1,NC20-4700,Oat,intercrop,plot,oat-pea
5,3,Block1,NF01404A,Oat,monocrop,plot,oat
6,3,Block1,NF01404A,Oat,intercrop,plot,oat-pea
7,4,Block1,NF12AS-107-4_4,Oat,intercrop,plot,oat-pea
8,4,Block1,NF12AS-107-4_4,Oat,monocrop,plot,oat
9,5,Block1,NF12AS-122-4_4,Oat,intercrop,plot,oat-pea
10,5,Block1,NF12AS-122-4_4,Oat,monocrop,plot,oat
11,6,Block1,PI365616,Oat,intercrop,headrow,oat-pea
12,7,Block1,TX18OCS9100,Oat,monocrop,plot,oat
13,7,Block1,TX18OCS9100,Oat,intercrop,plot,oat-pea
14,8,Block1,PI365622,Oat,intercrop,headrow,oat-pea
15,9,Block1,PA7617-3460,Oat,intercrop,plot,oat-pea
16,9,Block1,PA7617-3460,Oat,monocrop,plot,oat
17,10,Block1,NC21-6609,Oat,intercrop,plot,oat-pea
18,10,Block1,NC21-6609,Oat,monocrop,plot,oat
19,11,Block1,Blaze,Pea,monocrop,pea,pea
20,11,Block1,Blaze,Pea,monocrop,pea,pea
21,12,Block1,PI365621,Oat,intercrop,headrow,oat-pea
22,13,Block1,NC21-6576,Oat,monocrop,plot,oat
23,13,Block1,NC21-6576,Oat,intercrop,plot,oat-pea
24,14,Block1,BLACK_MESDAG|PI93284,Oat,intercrop,headrow,oat-pea
25,15,Block1,NF12AS-91-4_1,Oat,intercrop,plot,oat-pea
26,15,Block1,NF12AS-91-4_1,Oat,monocrop,plot,oat
27,16,Block1,NC21-6429,Oat,monocrop,plot,oat
28,16,Block1,NC21-6429,Oat,intercrop,plot,oat-pea
29,17,Block1,FLLA17069-54,Oat,monocrop,plot,oat
30,17,Block1,FLLA17069-54,Oat,intercrop,plot,oat-pea
31,18,Block1,NC20-4526,Oat,monocrop,plot,oat
32,18,Block1,NC20-4526,Oat,intercrop,plot,oat-pea
33,19,Block1,CAV3088,Oat,intercrop,headrow,oat-pea
34,20,Block1,SCLA17031SBSS-4-1,Oat,intercrop,plot,oat-pea
35,20,Block1,SCLA17031SBSS-4-1,Oat,monocrop,plot,oat
36,21,Block1,SCLA17080SBS-4-2,Oat,intercrop,plot,oat-pea
37,21,Block1,SCLA17080SBS-4-2,Oat,monocrop,plot,oat
38,22,Block1,NF13-4214-4_5,Oat,monocrop,plot,oat
39,22,Block1,NF13-4214-4_5,Oat,intercrop,plot,oat-pea
40,23,Block1,Gerard 227,Oat,intercrop,plot,oat-pea
