,plotNo,pairNo,block,accession,crop,intercrop,source,crop_2
1,1,1,Block1,NC20-4526,Oat,intercrop,plot,oat-pea
2,2,1,Block1,NC20-4526,Oat,monocrop,plot,oat
3,3,2,Block1,NC21-6610,Oat,intercrop,plot,oat-pea
4,4,2,Block1,NC21-6610,Oat,monocrop,plot,oat
5,5,3,Block1,PI365619,Oat,intercrop,headrow,oat-pea
6,6,4,Block1,OZARK|POGI,Oat,monocrop,plot,oat
7,7,4,Block1,OZARK|POGI,Oat,intercrop,plot,oat-pea
8,8,5,Block1,Gerard 227,Oat,intercrop,plot,oat-pea
9,9,5,Block1,Gerard 227,Oat,monocrop,plot,oat
10,10,6,Block1,NC21-6492,Oat,intercrop,plot,oat-pea
11,11,6,Block1,NC21-6492,Oat,monocrop,plot,oat
12,12,7,Block1,AVE265_59,Oat,intercrop,headrow,oat-pea
13,13,8,Block1,NF99414-1,Oat,intercrop,plot,oat-pea
14,14,8,Block1,NF99414-1,Oat,monocrop,plot,oat
15,15,9,Block1,Blaze,Pea,monocrop,pea,pea
16,16,9,Block1,Blaze,Pea,monocrop,pea,pea
17,17,10,Block1,NC20-4702,Oat,intercrop,plot,oat-pea
18,18,10,Block1,NC20-4702,Oat,monocrop,plot,oat
19,19,11,Block1,CAV2980,Oat,intercrop,headrow,oat-pea
20,20,12,Block1,FLLA17069-54,Oat,intercrop,plot,oat-pea
21,21,12,Block1,FLLA17069-54,Oat,monocrop,plot,oat
22,22,13,Block1,OKAY,Oat,intercrop,plot,oat-pea
23,23,13,Block1,OKAY,Oat,monocrop,plot,oat
24,24,14,Block1,SCLA17031SBSS-4-1,Oat,intercrop,plot,oat-pea
25,25,14,Block1,SCLA17031SBSS-4-1,Oat,monocrop,plot,oat
26,26,15,Block1,GERARD224,Oat,monocrop,plot,oat
27,27,15,Block1,GERARD224,Oat,intercrop,plot,oat-pea
28,28,16,Block1,NF12AS-100-4_2,Oat,monocrop,plot,oat
29,29,16,Block1,NF12AS-100-4_2,Oat,intercrop,plot,oat-pea
30,30,17,Block1,TX18OCS9125,Oat,monocrop,plot,oat
31,31,17,Block1,TX18OCS9125,Oat,intercrop,plot,oat-pea
32,32,18,Block1,NC21-6511,Oat,intercrop,plot,oat-pea
33,33,18,Block1,NC21-6511,Oat,monocrop,plot,oat
34,34,19,Block1,TX18OCS9104,Oat,intercrop,plot,oat-pea
35,35,19,Block1,TX18OCS9104,Oat,monocrop,plot,oat
36,36,20,Block1,NF18,Oat,intercrop,plot,oat-pea
37,37,20,Block1,NF18,Oat,monocrop,plot,oat
38,38,21,Block1,TX18OCS9100,Oat,intercrop,plot,oat-pea
39,39,21,Block1,TX18OCS9100,Oat,monocrop,plot,oat
40,40,22,Block1,KARCAGI,Oat,intercrop,headrow,oat-pea
41,41,23,Block1,NC20-4551,Oat,intercrop,plot,oat-pea
42,42,23,Block1,NC20-4551,Oat,monocrop,plot,oat
43,43,24,Block2,OZARK|POGI,Oat,monocrop,plot,oat
44,44,24,Block2,OZARK|POGI,Oat,intercrop,plot,oat-pea
45,45,25,Block2,NF99401_1-1,Oat,intercrop,plot,oat-pea
46,46,25,Block2,NF99401_1-1,Oat,monocrop,plot,oat
47,47,26,Block2,LA17089SBS-45-1-1,Oat,intercrop,plot,oat-pea
48,48,26,Block2,LA17089SBS-45-1-1,Oat,monocrop,plot,oat
49,49,27,Block2,SA21,Oat,intercrop,headrow,oat-pea
