"source","plotNo","oatName","peaName"
"headrow",106,"28C2","Blaze"
"headrow",139,"28C2","Blaze"
"headrow",12,"AVE265_59","Blaze"
"headrow",63,"AVE265_59","Blaze"
"headrow",76,"BLACK_MESDAG|PI93284","Blaze"
"headrow",128,"BLACK_MESDAG|PI93284","Blaze"
"headrow",19,"CAV2980","Blaze"
"headrow",198,"CAV2980","Blaze"
"headrow",179,"CAV3088","Blaze"
"headrow",294,"CAV3088","Blaze"
"headrow",107,"CAV3163","Blaze"
"headrow",326,"CAV3163","Blaze"
"headrow",231,"DOMACA_ZOB","Blaze"
"headrow",284,"DOMACA_ZOB","Blaze"
"headrow",40,"KARCAGI","Blaze"
"headrow",87,"KARCAGI","Blaze"
"headrow",124,"PI344827","Blaze"
"headrow",273,"PI344827","Blaze"
"headrow",232,"PI365615","Blaze"
"headrow",325,"PI365615","Blaze"
"headrow",50,"PI365616","Blaze"
"headrow",293,"PI365616","Blaze"
"headrow",5,"PI365619","Blaze"
"headrow",235,"PI365619","Blaze"
"headrow",127,"PI365621","Blaze"
"headrow",242,"PI365621","Blaze"
"headrow",146,"PI365622","Blaze"
"headrow",195,"PI365622","Blaze"
"headrow",182,"RADNORSHIRE_SPRIG|CIAV3219","Blaze"
"headrow",305,"RADNORSHIRE_SPRIG|CIAV3219","Blaze"
"headrow",49,"SA21","Blaze"
"headrow",312,"SA21","Blaze"
"pea",15,"Blaze","na"
"pea",16,"Blaze","na"
"pea",59,"Blaze","na"
"pea",60,"Blaze","na"
"pea",104,"Blaze","na"
"pea",105,"Blaze","na"
"pea",135,"Blaze","na"
"pea",136,"Blaze","na"
"pea",185,"Blaze","na"
"pea",186,"Blaze","na"
"pea",236,"Blaze","na"
"pea",237,"Blaze","na"
"pea",261,"Blaze","na"
"pea",262,"Blaze","na"
"pea",317,"Blaze","na"
"pea",318,"Blaze","na"
"plot",289,"AURORA","na"
"plot",290,"AURORA","Blaze"
"plot",335,"AURORA","na"
"plot",336,"AURORA","Blaze"
"plot",207,"FLLA11019-8","Blaze"
"plot",208,"FLLA11019-8","na"
"plot",213,"FLLA11019-8","Blaze"
"plot",214,"FLLA11019-8","na"
"plot",20,"FLLA17069-54","Blaze"
"plot",21,"FLLA17069-54","na"
"plot",79,"FLLA17069-54","Blaze"
"plot",80,"FLLA17069-54","na"
"plot",161,"FLLA17088-61","na"
"plot",162,"FLLA17088-61","Blaze"
"plot",233,"FLLA17088-61","na"
"plot",234,"FLLA17088-61","Blaze"
"plot",249,"FLLA17088-77","na"
"plot",250,"FLLA17088-77","Blaze"
"plot",299,"FLLA17088-77","Blaze"
"plot",300,"FLLA17088-77","na"
"plot",26,"GERARD224","na"
"plot",27,"GERARD224","Blaze"
"plot",313,"GERARD224","Blaze"
"plot",314,"GERARD224","na"
"plot",8,"Gerard 227","Blaze"
"plot",9,"Gerard 227","na"
"plot",163,"Gerard 227","Blaze"
"plot",164,"Gerard 227","na"
"plot",114,"HARRISON","na"
"plot",115,"HARRISON","Blaze"
"plot",151,"HARRISON","Blaze"
"plot",152,"HARRISON","na"
"plot",211,"HORIZON201","na"
"plot",212,"HORIZON201","Blaze"
"plot",278,"HORIZON201","Blaze"
"plot",279,"HORIZON201","na"
"plot",90,"Horizon 578","Blaze"
"plot",91,"Horizon 578","na"
"plot",199,"Horizon 578","Blaze"
"plot",200,"Horizon 578","na"
"plot",108,"Juggernaut","Blaze"
"plot",109,"Juggernaut","na"
"plot",259,"Juggernaut","na"
"plot",260,"Juggernaut","Blaze"
"plot",133,"LA17069SBSS-2-1","Blaze"
"plot",134,"LA17069SBSS-2-1","na"
"plot",223,"LA17069SBSS-2-1","na"
"plot",224,"LA17069SBSS-2-1","Blaze"
"plot",47,"LA17089SBS-45-1-1","Blaze"
"plot",48,"LA17089SBS-45-1-1","na"
"plot",88,"LA17089SBS-45-1-1","na"
"plot",89,"LA17089SBS-45-1-1","Blaze"
"plot",227,"LA17129SBSS-8-1","Blaze"
"plot",228,"LA17129SBSS-8-1","na"
"plot",323,"LA17129SBSS-8-1","Blaze"
"plot",324,"LA17129SBSS-8-1","na"
"plot",173,"LA17153SBSS-46-1","na"
"plot",174,"LA17153SBSS-46-1","Blaze"
"plot",225,"LA17153SBSS-46-1","na"
"plot",226,"LA17153SBSS-46-1","Blaze"
"plot",66,"LA17153SBSS-55-1","na"
"plot",67,"LA17153SBSS-55-1","Blaze"
"plot",301,"LA17153SBSS-55-1","Blaze"
"plot",302,"LA17153SBSS-55-1","na"
"plot",94,"LA99016","Blaze"
"plot",95,"LA99016","na"
"plot",297,"LA99016","Blaze"
"plot",298,"LA99016","na"
"plot",171,"NC17-6440","na"
